,Description,Division,EndTime,Location,OBJECTID,Recurrence,StartTime,Title,created_date,created_user,last_edited_date,last_edited_user,Simple Location,Latitude,Longitude
10,<div>North Tryon Division RA 0711- Eastbrook Woods Meeting located at 7113 CoveCreek Drive @ 1900 hours </div>,North Tryon Division,2097-02-25T19:00:00.000Z,7113 CoveCreek Drive ,23,true,2013-12-23T19:00:00.000Z,NTD- Eastbrook Woods ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7113+covecreek+drive,+Charlotte,+NC",35.263228,-80.74186900000001
11,"<div>Monthly Elizabeth Neighborhood Meeting</div>
<div>Elizabeth HOA President Eric Davis can be contacted @ <a href=""mailto:eric.davis1@wellsfargo.com"">eric.davis1@wellsfargo.com</a></div>
<div>&nbsp;</div>",Providence Division,2014-09-04T19:00:00.000Z,2024 E. 7th Street ,27,true,2013-12-05T18:30:00.000Z,Elizabeth Neighborhood Association ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2024+e.+7th+street,+Charlotte,+NC",35.2116546,-80.8175791
12,"<div>President Pamela May </div>
<div>&nbsp;</div>
<div>*Open to Myers Park residents and speakers on agenda only*</div>
<div><br />&nbsp;</div>",Providence Division,2097-02-19T19:00:00.000Z,Duke Mansion - 400 Hermitage Road ,28,true,2013-12-17T18:00:00.000Z,Myers Park Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"400+hermitage+road,+Charlotte,+NC",35.2015003,-80.8273552
13,<div>*Meeting open to Eastover residents only* </div>,Providence Division,2097-02-26T19:30:00.000Z,Westminster Presbyterian Church - 101 Colville Rd ,29,true,2013-12-24T18:30:00.000Z,Eastover Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"101+colville+rd,+Charlotte,+NC",35.2035205,-80.8180982
14,"<a href=""mailto:Victor.ahdieh@gmail.com"">Victor.ahdieh@gmail.com</a>&nbsp; Freedom Park President
<div></div>",Providence Division,2014-09-25T20:00:00.000Z,2435 Cumberland Avenue ,31,true,2013-12-26T19:00:00.000Z,Freedom Park Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2435+cumberland+avenue,+Charlotte,+NC",35.1909523,-80.84539989999999
15,<div>Contact: Greg Zeleznick at 704-281-2698 with the Cub Scouts</div>,Steele Creek Division,2013-12-02T19:30:00.000Z,13110 Moss Rd ,34,false,2013-12-02T18:30:00.000Z,Cub Scout Crime Prevention Talk ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"13110+moss+rd,+Charlotte,+NC",35.1153532,-80.96336149999999
16,<div>Contact: Courtney Macdermid (apt. manager)<br />&nbsp;<br />704-583-4000</div>,Steele Creek Division,2013-12-03T18:00:00.000Z,12235 Stone Arbor Wy (club house) ,35,false,2013-12-03T17:00:00.000Z,Arbor at Steele Creek Apt. Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"12235+st,+Charlotte,+NC",35.0690265,-80.8409526
17,"<div>Contact:<br />&nbsp;<br />Tippi Moose, Community Association Manager <br />704.535.1122 x264 </div>",Steele Creek Division,2013-12-04T19:30:00.000Z,"Allen Tate Real Estate office, 13551 Steelecroft Pkwy",36,false,2013-12-04T18:00:00.000Z,Greybriar at McDowell Place Annual Members Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"13551+st,+Charlotte,+NC",42.457679,-82.9864329
18,<div>Contact: Officer Cruz and Officer Redford704-336-8549<br />Steele Creek Division<br />Response Area2112</div>,Steele Creek Division,2097-02-07T19:30:00.000Z,9401 China Grove Church Road - China Grove AME Zion Church ,37,true,2013-12-05T18:30:00.000Z,Sterling Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9401+china+grove+church+road,+Charlotte,+NC",35.109819,-80.88531200000001
19,<div>Contact:<br />&nbsp;<br />Lawrence Sapp (security site coordinator)<br />Office: 704-587-4725</div>,Steele Creek Division,2013-12-10T21:30:00.000Z,10815 Quality Drive ,38,false,2013-12-10T21:00:00.000Z,Meeting at GM Plant ref. workplace violence ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"10815+quality+drive,+Charlotte,+NC",35.1394036,-80.9874527
20,"<div>Steele Creek Division <br />Response Area 2<br />Officer Cruz - <a href=""mailto:acruz@cmpd.org"">acruz@cmpd.org</a><br />Officer Redford - <a href=""mailto:dredford@cmpd.org"">dredford@cmpd.org</a><br /></div>",Steele Creek Division,2167-03-19T20:00:00.000Z,Clubhouse - 1700 Longleaf Drive ,40,true,2017-05-18T19:00:00.000Z,Pinevalley Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1700+longleaf+drive,+Charlotte,+NC",35.1111708,-80.8765638
21,<div>Contact: Officer Cruz and Redford704-336-8549<br />Steele Creek Division<br />Response Area2112</div>,Steele Creek Division,2097-02-21T20:00:00.000Z,501 West Arrowood Road - Silver Mount Baptist Church ,41,true,2013-12-19T19:00:00.000Z,Ramblewood Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"501+west+arrowood+road,+Charlotte,+NC",35.133027,-80.89835099999999
22,"<div>Steele Creek Division <br />Response Area 2<br />Officer Cruz - <a href=""mailto:acruz@cmpd.org"">acruz@cmpd.org</a><br />Officer Pressley - <a href=""mailto:gpressley@cmpd.org"">gpressley@cmpd.org</a><br />704-336-8549</div>",Steele Creek Division,2097-02-26T20:00:00.000Z,501 West Arrowood Road - Silver Mount Baptist Church ,42,true,2013-12-24T19:00:00.000Z,British Woods Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"501+west+arrowood+road,+Charlotte,+NC",35.133027,-80.89835099999999
23,<div>Westover<br />Contact&nbsp; Officers Beamer/Herron 704 432 2442 </div>,Westover Division,2097-02-05T19:00:00.000Z,3132 Manchester Rd.28217,45,true,2013-12-03T18:00:00.000Z,West Blvd Coalition ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3132+manchester+rd,+Charlotte,+NC",35.2056839,-80.8836528
24,<div>Contact Officer S. Mohammad </div>,Westover Division,2097-02-11T20:00:00.000Z,"Pinewood Elementary 805 Seneca Pl, Charlotte NC ",46,true,2013-12-09T19:00:00.000Z,Madison Park Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"805+seneca+pl,+charlotte+nc+,+Charlotte,+NC",35.1663759,-80.8645023
25,<div>Contact Officers Beamer</div>,Westover Division,2097-02-12T19:00:00.000Z,Amay James Recreation Center. 2425 Lester St,48,true,2013-12-10T18:00:00.000Z,Reid Park Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2425+lester+st,+Charlotte,+NC",35.2027902,-80.9017185
26,<div>Contact&nbsp; Officers Beamer/Herron</div>,Westover Division,2097-02-12T20:00:00.000Z,"The Rock Worship center 1113 Fordham Rd, Charlotte, NC 28208",49,true,2013-12-10T19:00:00.000Z,Westover Hills Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1113+fordham+rd,+Charlotte,+NC",35.2175143,-80.8755903
27,<div>Contact&nbsp; Officers Beamer/Herron </div>,Westover Division,2163-09-13T19:00:00.000Z,Watty Pavilion   3132 Manchester Dr ,50,true,2013-12-10T18:00:00.000Z,Revolution Park Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3132+manchester+dr,+Charlotte,+NC",35.2056839,-80.8836528
28,<div>Contact&nbsp; Officers Beamer/Herron</div>,Westover Division,2097-02-28T19:00:00.000Z,Clanton Park Pavilion   3132 Manchester Dr ,51,true,2013-12-22T18:00:00.000Z,Clanton Park Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3132+manchester+dr,+Charlotte,+NC",35.2056839,-80.8836528
29,<div>Contact Officers M .Montgomery </div>,Westover Division,2097-02-19T19:30:00.000Z,Grace United Methodist      737 E Woodlawn ,53,true,2013-12-17T18:30:00.000Z,Collingwood Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"737+e+woodlawn+,+Charlotte,+NC",35.174219,-80.86768099999999
30,<div>Contact&nbsp; Officers Beamer/Herron <br /></div>,Westover Division,2097-02-28T19:00:00.000Z,Wingate Resource Center- 2701 Mayfair Ave ,54,true,2013-12-26T18:00:00.000Z,Wingate Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2701+mayfair+ave,+Charlotte,+NC",35.2153187,-80.9077899
31,<div></div>,Animal Care & Control,2097-02-09T11:00:00.000Z,ACCD (8315 Byrum Dr.) ,56,true,2013-12-14T07:00:00.000Z,Free Rabies Clinic ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8315+byrum+dr,+Charlotte,+NC",35.19104859999999,-80.9482899
32,<div>*Meeting open to Eastover residents only* </div>,Providence Division,2014-02-18T19:30:00.000Z,Westminster Presbyterian Church - 101 Colville Rd ,61,true,2014-02-18T18:30:00.000Z,Eastover Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"101+colville+rd,+Charlotte,+NC",35.2035205,-80.8180982
33,<div>*Meeting open to Eastover residents only* </div>,Providence Division,2014-01-29T19:30:00.000Z,Westminster Presbyterian Church - 101 Colville Rd ,62,true,2014-01-29T18:30:00.000Z,Eastover Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"101+colville+rd,+Charlotte,+NC",35.2035205,-80.8180982
34,"<div>Contact person:&nbsp; France Greene</div>
<div>Officer EN Conway</div>",Hickory Grove Division,2014-02-25T20:00:00.000Z,6709 Pence Rd. Hickory Grove Rec Center,63,false,2014-02-25T19:00:00.000Z,Ravenwood,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6709+pence+rd,+Charlotte,+NC",35.2264818,-80.7171971
35,"<div>Contact Person: Mary Kay Brennan</div>
<div>Officer EN Conway</div>",Hickory Grove Division,2014-02-18T19:30:00.000Z,6709 Pence Rd. Hickory Grove Rec Center,64,false,2014-02-18T18:30:00.000Z,Grove Park ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6709+pence+rd,+Charlotte,+NC",35.2264818,-80.7171971
36,"<div>Contact:&nbsp; Eve Mucchi</div>
<div>Officer SA Evett</div>",Hickory Grove Division,2014-02-18T20:30:00.000Z,13200 Peacock Ln Clubhouse,65,false,2014-02-18T19:30:00.000Z,Bradfield Farms,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"13200+peacock+ln,+Charlotte,+NC",35.2514378,-80.6355966
37,"<div>Neighborhood and community and business leaders from across all three Freedom Division response areas come together&nbsp; to discuss current trends and future work plans for the division.&nbsp; CMPD asks for input on identifying trouble locations and/or people.&nbsp; CMPD provides information on recent arrests and high profile incidents<br />&nbsp;<br />The contact person for this meeting is Captain Greg Collins,&nbsp;704-432-6787, &nbsp;<a href=""mailto:gcollins@cmpd.org"">gcollins@cmpd.org</a> </div>",Freedom Division,2014-02-19T20:15:00.000Z,West Service Center - 4150 Wilkinson Bv,66,false,2014-02-19T19:00:00.000Z,Freedom Division Advisory Council,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4150+wilkinson+bv,+Charlotte,+NC",35.2262822,-80.9083732
38,"<div>The BBB will once again offer free shredding as part of our nationwide Secure Your ID Day on April 26 from 9 a.m. to 12 noon at two locations in Charlotte. </div>
<div>Shred-It Parking Lot - 3421 Axar Road, Charlotte, N.C.<br />Jay M. Robinson Middle School - 5925 Ballantyne Commons Parkway, Charlotte, N.C. <br />Limit four large bags or boxes per car. Shredding is the easiest way to prevent identity theft. </div>
<div>Special thanks to our partners: Shred-It, CMPD and the Mecklenburg County Consumer Fraud Taskforce.</div>
<div>&nbsp;</div>",South Division,2014-04-26T12:00:00.000Z,"5925 Ballantyne Commons Parkway, Charlotte, N.C",68,false,2014-04-26T09:00:00.000Z,Free Document Shredding,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5925+ballantyne+commons+parkway,+charlotte,+n.c,+Charlotte,+NC",35.062863,-80.783644
39,"<div>The BBB will once again offer free shredding as part of our nationwide Secure Your ID Day on April 26 from 9 a.m. to 12 noon at two locations in Charlotte. </div>
<div>Shred-It Parking Lot - 3421 Axar Road, Charlotte, N.C.<br />Jay M. Robinson Middle School - 5925 Ballantyne Commons Parkway, Charlotte, N.C. <br />Limit four large bags or boxes per car. Shredding is the easiest way to prevent identity theft. </div>
<div>Special thanks to our partners: Shred-It, CMPD and the Mecklenburg County Consumer Fraud Taskforce.</div>
<div>&nbsp;</div>",Freedom Division,2014-04-26T12:00:00.000Z,"3421 Axar Road, Charlotte, N.C.",69,false,2014-04-26T09:00:00.000Z,Free Document Shredding,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3421+axar+road,+Charlotte,+NC",35.235843,-80.91832200000002
40,<div>*Meeting open to Eastover residents only* </div>,Providence Division,2014-06-24T19:30:00.000Z,Westminster Presbyterian Church - 101 Colville Rd ,74,true,2014-06-24T18:30:00.000Z,Deleted: Eastover Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"101+colville+rd,+Charlotte,+NC",35.2035205,-80.8180982
41,<div>*Meeting open to Eastover residents only* </div>,Providence Division,2014-07-22T19:30:00.000Z,Westminster Presbyterian Church - 101 Colville Rd ,75,true,2014-07-22T18:30:00.000Z,Deleted: Eastover Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"101+colville+rd,+Charlotte,+NC",35.2035205,-80.8180982
42,"�Officer Ted Castano
704-619-3336 ",Eastway Division,2097-02-11T19:30:00.000Z,Amelie's Bakery @ 2424 N. Davidson Street ,76,TRUE,2013-12-09T19:00:00.000Z,Villa Heights Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2424+n.+davidson+street,+Charlotte,+NC",35.2412283,-80.81191179999999
43,Contact 2712 Community Coordinators at 704-432-6800 x 267 for verification,Freedom Division,2097-02-11T20:00:00.000Z,506 Coulwood Drive ,80,TRUE,2013-12-09T19:00:00.000Z,Coulwood Hills Community Meeting-Freedom ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"506+coulwood+drive,+Charlotte,+NC",35.2980878,-80.9451155
44,<div>Contact: Officer Cruz and Officer Patterson <br />704-336-8549<br />Steele Creek Division<br />Response Area2112</div>,Steele Creek Division,2014-07-10T20:00:00.000Z,501 West Arrowood Road - Silver Mount Baptist Church ,81,false,2014-07-10T19:00:00.000Z,Ramblewood Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"501+west+arrowood+road,+Charlotte,+NC",35.133027,-80.89835099999999
45,<div>Contact: Officer Cruz and Officer Pressley<br />704-336-8549<br />Steele Creek Division<br />Response Area2112</div>,Steele Creek Division,2014-07-17T20:00:00.000Z,501 West Arrowood Road - Silver Mount Baptist Church ,82,true,2014-07-17T19:00:00.000Z,Deleted: Ramblewood Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"501+west+arrowood+road,+Charlotte,+NC",35.133027,-80.89835099999999
46,"<div>Steele Creek Division <br />Response Area 2<br />Officer Cruz - <a href=""mailto:acruz@cmpd.org"">acruz@cmpd.org</a><br />Officer Patterson&nbsp;704-336-8549<br /></div>",Steele Creek Division,2014-07-10T20:00:00.000Z,1700 Longleaf Dr - Clubhouse ,83,false,2014-07-10T19:00:00.000Z,Pinevalley ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1700+longleaf+dr,+Charlotte,+NC",35.1111708,-80.8765638
47,"<div>Steele Creek Division <br />Response Area 2<br />Officer Cruz - <a href=""mailto:acruz@cmpd.org"">acruz@cmpd.org</a><br />Officer Pressley - <a href=""mailto:gpressley@cmpd.org"">gpressley@cmpd.org</a><br />704-336-8549<br /></div>",Steele Creek Division,2014-07-17T17:00:00.000Z,Clubhouse - 1700 Longleaf Drive ,84,true,2014-07-17T16:00:00.000Z,Deleted: Pinevalley Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1700+longleaf+drive,+Charlotte,+NC",35.1111708,-80.8765638
48,"<div>Steele Creek Division <br />Response Area 2<br />Officer Cruz - <a href=""mailto:acruz@cmpd.org"">acruz@cmpd.org</a><br />Officer Patterson&nbsp;704-336-8549<br /></div>",Steele Creek Division,2014-07-24T20:00:00.000Z,501 E. Arrowood Road Silvermont Church ,85,false,2014-07-24T19:00:00.000Z,Foxboro Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"501+e.+arrowood+road,+Charlotte,+NC",35.1372849,-80.8842971
49,<div>National Night Out</div>,University City Division,2014-08-04T20:00:00.000Z,324 Caprington Ave,86,false,2014-08-04T19:00:00.000Z,Withrow Downs II NNO ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"324+caprington+ave,+Charlotte,+NC",35.3435871,-80.7020142
50,<div>National Night Out</div>,University City Division,2014-08-05T20:00:00.000Z,5710 Fairvista Drive,88,false,2014-08-05T18:00:00.000Z,Highland Creek ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5710+fairvista+drive,+Charlotte,+NC",35.381032,-80.772761
51,<div></div>,University City Division,2014-08-06T19:30:00.000Z,16516 Silversword Dr,90,false,2014-08-06T18:00:00.000Z,Old Stone Crossing HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"16516+silversword+dr,+Charlotte,+NC",35.2904419,-80.6889083
52,<div></div>,University City Division,2014-08-23T12:30:00.000Z,5630 Phillips Street,96,false,2014-08-23T12:00:00.000Z,Rightstart Initiatives Backpack Drive,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5630+phillips+street,+Charlotte,+NC",35.3096506,-80.8102895
53,<div>&nbsp;</div>,Providence Division,2097-11-20T19:30:00.000Z,St john's Methodist Church 4305 Monroe rd.,102,true,2014-09-17T18:30:00.000Z,Anthem Courts HOA Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4305+monroe+rd,+Charlotte,+NC",35.1955777,-80.78763769999999
54,Contact� Officers Beamer/Herron,Westover Division,2097-02-28T19:00:00.000Z,Clanton Park Pavilion   3132 Manchester Dr ,103,TRUE,2013-12-22T18:00:00.000Z,Clanton Park Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3132+manchester+dr,+Charlotte,+NC",35.2056839,-80.8836528
55,Contact Officers M .Montgomery ,Westover Division,2097-02-19T19:30:00.000Z,Grace United Methodist      737 E Woodlawn ,104,TRUE,2013-12-17T18:30:00.000Z,Collingwood Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"737+e+woodlawn+,+Charlotte,+NC",35.174219,-80.86768099999999
56,"Contact� Officers Beamer/Herron
",Westover Division,2097-02-28T19:00:00.000Z,Wingate Resource Center- 2701 Mayfair Ave ,105,TRUE,2013-12-26T18:00:00.000Z,Wingate Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2701+mayfair+ave,+Charlotte,+NC",35.2153187,-80.9077899
57,<div></div>,University City Division,2014-09-06T20:00:00.000Z,3001 Johnson-Oehler Road,107,false,2014-09-06T17:00:00.000Z,Harrington Woods BBQ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3001+johnson-oehler+road,+Charlotte,+NC",35.360596,-80.763778
58,<div></div>,University City Division,2014-09-10T13:00:00.000Z,Fox Sports (1220 W. W T Harris Blvd),108,false,2014-09-10T11:30:00.000Z,Active Shooter Presentation,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1220+w.+w+t+harris+blvd,+Charlotte,+NC",35.315704,-80.7646549
59,<div></div>,Providence Division,2014-09-30T19:30:00.000Z,Pleasant Hill Baptist Church (517 Baldwin Avenue,111,false,2014-09-30T18:30:00.000Z,Cherry Neighborhood Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"517+baldwin+avenue,+Charlotte,+NC",35.2089685,-80.8320698
60,<div></div>,University City Division,2014-09-02T20:30:00.000Z,4712 Boomerang Way,113,false,2014-09-02T19:00:00.000Z,CDOT/CMPD meeting for Prosperity Ridge,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4712+boomerang+way,+Charlotte,+NC",35.37407,-80.77843
61,<div></div>,University City Division,2014-09-23T20:30:00.000Z,"Holiday Inn, 8520 University Executive Park Dr",114,false,2014-09-23T19:00:00.000Z,UCD Crime Reporting and Solutions meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8520+university+executive+park+dr,+Charlotte,+NC",35.3053032,-80.7526632
62,<div></div>,University City Division,2014-09-29T09:30:00.000Z,"BECO iPark Conference Center, 8335 IBM Dr",115,false,2014-09-29T08:00:00.000Z,University City Partners Public Safety Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8335+ibm+dr,+Charlotte,+NC",35.30777,-80.7670234
